title,link,publication_date,abstract,conclusions,"ml_techniques: (ex: [('Traditional ML', ['regression', 'decision tree', 'svm', 'k-means']), ('DNN', ['cnn', 'rnn', 'lstm', 'deep learning']), ('Gen AI', ['transformer', 'gan', 'diffusion model', 'bert'])])","security_privacy: (ex: [('Attack Types', ['evasion', 'poisoning', 'backdoor', 'membership inference', 'model inversion', 'data reconstruction', 'untargeted poisoning', 'energy latency attack']), ('Attacker Identity', ['patient', 'healthcare practitioner', 'ml service provider', '3rd-party healthcare organization', 'cybercriminals', 'business competitors']), ('Attacker Capability', ['training data control', 'model control', 'testing data control', 'query access', 'explanation access'])])"
"A robust COVID-19 mortality prediction calculator based on Lymphocyte count, Urea, C-Reactive Protein, Age and Sex (LUCAS) with chest X-rays",https://www.nature.com/articles/s41598-022-21803-2,29 Oct 2022,"There have been numerous risk tools developed to enable triaging of SARS-CoV-2 positive patients with diverse levels of complexity. Here we presented a simplified risk-tool based on minimal parameters and chest X-ray (CXR) image data that predicts the survival of adult SARS-CoV-2 positive patients at hospital admission. We analysed the NCCID database of patient blood variables and CXR images from 19 hospitals across the UK using multivariable logistic regression. The initial dataset was non-randomly split between development and internal validation dataset with 1434 and 310 SARS-CoV-2 positive patients, respectively. External validation of the final model was conducted on 741 Accident and Emergency (A&E) admissions with suspected SARS-CoV-2 infection from a separate NHS Trust. The LUCAS mortality score included five strongest predictors (Lymphocyte count, Urea, C-reactive protein, Age, Sex), which are available at any point of care with rapid turnaround of results. Our simple multivariable logistic model showed high discrimination for fatal outcome with the area under the receiving operating characteristics curve (AUC-ROC) in development cohort 0.765 (95% confidence interval (CI): 0.738–0.790), in internal validation cohort 0.744 (CI: 0.673–0.808), and in external validation cohort 0.752 (CI: 0.713–0.787). The discriminatory power of LUCAS increased slightly when including the CXR image data. LUCAS can be used to obtain valid predictions of mortality in patients within 60 days of SARS-CoV-2 RT-PCR results into low, moderate, high, or very high risk of fatality.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Spatio-temporal dynamics of three diseases caused by Aedes-borne arboviruses in Mexico,https://www.nature.com/articles/s43856-022-00192-7,28 Oct 2022,"The intensity of transmission of Aedes-borne viruses is heterogeneous, and multiple factors can contribute to variation at small spatial scales. Illuminating drivers of heterogeneity in prevalence over time and space would provide information for public health authorities. The objective of this study is to detect the spatiotemporal clusters and determine the risk factors of three major Aedes-borne diseases, Chikungunya virus (CHIKV), Dengue virus (DENV), and Zika virus (ZIKV) clusters in Mexico.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: ; Attacker Capability: 
Genetically-informed prediction of short-term Parkinson’s disease progression,https://www.nature.com/articles/s41531-022-00412-w,28 Oct 2022,"Parkinson’s disease (PD) treatments modify disease symptoms but have not been shown to slow progression, characterized by gradual and varied motor and non-motor changes overtime. Variation in PD progression hampers clinical research, resulting in long and expensive clinical trials prone to failure. Development of models for short-term PD progression prediction could be useful for shortening the time required to detect disease-modifying drug effects in clinical studies. PD progressors were defined by an increase in MDS-UPDRS scores at 12-, 24-, and 36-months post-baseline. Using only baseline features, PD progression was separately predicted across all timepoints and MDS-UPDRS subparts in independent, optimized, XGBoost models. These predictions plus baseline features were combined into a meta-predictor for 12-month MDS UPDRS Total progression. Data from the Parkinson’s Progression Markers Initiative (PPMI) were used for training with independent testing on the Parkinson’s Disease Biomarkers Program (PDBP) cohort. 12-month PD total progression was predicted with an F-measure 0.77, ROC AUC of 0.77, and PR AUC of 0.76 when tested on a hold-out PPMI set. When tested on PDBP we achieve a F-measure 0.75, ROC AUC of 0.74, and PR AUC of 0.73. Exclusion of genetic predictors led to the greatest loss in predictive accuracy; ROC AUC of 0.66, PR AUC of 0.66–0.68 for both PPMI and PDBP testing. Short-term PD progression can be predicted with a combination of survey-based, neuroimaging, physician examination, and genetic predictors. Dissection of the interplay between genetic risk, motor symptoms, non-motor symptoms, and longer-term expected rates of progression enable generalizable predictions.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
"Polygenic Health Index, General Health, and Pleiotropy: Sibling Analysis and Disease Risk Reduction",https://www.nature.com/articles/s41598-022-22637-8,28 Oct 2022,"We construct a polygenic health index as a weighted sum of polygenic risk scores for 20 major disease conditions, including, e.g., coronary artery disease, type 1 and 2 diabetes, schizophrenia, etc. Individual weights are determined by population-level estimates of impact on life expectancy. We validate this index in odds ratios and selection experiments using unrelated individuals and siblings (pairs and trios) from the UK Biobank. Individuals with higher index scores have decreased disease risk across almost all 20 diseases (no significant risk increases), and longer calculated life expectancy. When estimated Disability Adjusted Life Years (DALYs) are used as the performance metric, the gain from selection among ten individuals (highest index score vs average) is found to be roughly 4 DALYs. We find no statistical evidence for antagonistic trade-offs in risk reduction across these diseases. Correlations between genetic disease risks are found to be mostly positive and generally mild. These results have important implications for public health and also for fundamental issues such as pleiotropy and genetic architecture of human disease conditions.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Evaluation of machine learning algorithms for predicting direct-acting antiviral treatment failure among patients with chronic hepatitis C infection,https://www.nature.com/articles/s41598-022-22819-4,27 Oct 2022,"Despite the availability of efficacious direct-acting antiviral (DAA) therapy, the number of people infected with hepatitis C virus (HCV) continues to rise, and HCV remains a leading cause of liver-related morbidity, liver transplantation, and mortality. We developed and validated machine learning (ML) algorithms to predict DAA treatment failure. Using the HCV-TARGET registry of adults who initiated all-oral DAA treatment, we developed elastic net (EN), random forest (RF), gradient boosting machine (GBM), and feedforward neural network (FNN) ML algorithms. Model performances were compared with multivariable logistic regression (MLR) by assessing C statistics and other prediction evaluation metrics. Among 6525 HCV-infected adults, 308 patients (4.7%) experienced DAA treatment failure. ML models performed similarly in predicting DAA treatment failure (C statistic [95% CI]: EN, 0.74 [0.69–0.79]; RF, 0.74 [0.69–0.80]; GBM, 0.72 [0.67–0.78]; FNN, 0.75 [0.70–0.80]), and all 4 outperformed MLR (C statistic [95% CI]: 0.51 [0.46–0.57]), and EN used the fewest predictors (n = 27). With Youden index, the EN had 58.4% sensitivity and 77.8% specificity, and nine patients were needed to evaluate to identify 1 DAA treatment failure. Over 60% treatment failure were classified in top three risk decile subgroups. EN-identified predictors included male sex, treatment < 8 weeks, treatment discontinuation due to adverse events, albumin level < 3.5 g/dL, total bilirubin level > 1.2 g/dL, advanced liver disease, and use of tobacco, alcohol, or vitamins. Addressing modifiable factors of DAA treatment failure may reduce the burden of retreatment. Machine learning algorithms have the potential to inform public health policies regarding curative treatment of HCV.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Benchmarking emergency department prediction models with machine learning and public electronic health records,https://www.nature.com/articles/s41597-022-01782-9,27 Oct 2022,"The demand for emergency department (ED) services is increasing across the globe, particularly during the current COVID-19 pandemic. Clinical triage and risk assessment have become increasingly challenging due to the shortage of medical resources and the strain on hospital infrastructure caused by the pandemic. As a result of the widespread use of electronic health records (EHRs), we now have access to a vast amount of clinical data, which allows us to develop prediction models and decision support systems to address these challenges. To date, there is no widely accepted clinical prediction benchmark related to the ED based on large-scale public EHRs. An open-source benchmark data platform would streamline research workflows by eliminating cumbersome data preprocessing, and facilitate comparisons among different studies and methodologies. Based on the Medical Information Mart for Intensive Care IV Emergency Department (MIMIC-IV-ED) database, we created a benchmark dataset and proposed three clinical prediction benchmarks. This study provides future researchers with insights, suggestions, and protocols for managing data and developing predictive tools for emergency care.",Conclusions not available,"Traditional ML, DNN, Gen AI","Attack Types: ; Attacker Identity: patient, healthcare practitioner; Attacker Capability: "
"Synthesis and preliminary biological evaluation of gabactyzine, a benactyzine-GABA mutual prodrug, as an organophosphate antidote",https://www.nature.com/articles/s41598-022-23141-9,27 Oct 2022,"Organophosphates (OPs) are inhibitors of acetylcholinesterase and have deleterious effects on the central nervous system. Clinical manifestations of OP poisoning include convulsions, which represent an underlying toxic neuro-pathological process, leading to permanent neuronal damage. This neurotoxicity is mediated through the cholinergic, GABAergic and glutamatergic (NMDA) systems. Pharmacological interventions in OP poisoning are designed to mitigate these specific neuro-pathological pathways, using anticholinergic drugs and GABAergic agents. Benactyzine is a combined anticholinergic, anti-NMDA compound. Based on previous development of novel GABA derivatives (such as prodrugs based on perphenazine for the treatment of schizophrenia and nortriptyline against neuropathic pain), we describe the synthesis and preliminary testing of a mutual prodrug ester of benactyzine and GABA. It is assumed that once the ester crosses the blood–brain-barrier it will undergo hydrolysis, releasing benactyzine and GABA, which are expected to act synergistically. The combined release of both compounds in the brain offers several advantages over the current OP poisoning treatment protocol: improved efficacy and safety profile (where the inhibitory properties of GABA are expected to counteract the anticholinergic cognitive adverse effects of benactyzine) and enhanced chemical stability compared to benactyzine alone. We present here preliminary results of animal studies, showing promising results with early gabactyzine administration.",Conclusions not available,Gen AI,Attack Types: poisoning; Attacker Identity: patient; Attacker Capability: 
Simulation of a machine learning enabled learning health system for risk prediction using synthetic patient data,https://www.nature.com/articles/s41598-022-23011-4,26 Oct 2022,"When enabled by machine learning (ML), Learning Health Systems (LHS) hold promise for improving the effectiveness of healthcare delivery to patients. One major barrier to LHS research and development is the lack of access to EHR patient data. To overcome this challenge, this study demonstrated the feasibility of developing a simulated ML-enabled LHS using synthetic patient data. The ML-enabled LHS was initialized using a dataset of 30,000 synthetic Synthea patients and a risk prediction XGBoost base model for lung cancer. 4 additional datasets of 30,000 patients were generated and added to the previous updated dataset sequentially to simulate addition of new patients, resulting in datasets of 60,000, 90,000, 120,000 and 150,000 patients. New XGBoost models were built in each instance, and performance improved with data size increase, attaining 0.936 recall and 0.962 AUC (area under curve) in the 150,000 patients dataset. The effectiveness of the new ML-enabled LHS process was verified by implementing XGBoost models for stroke risk prediction on the same Synthea patient populations. By making the ML code and synthetic patient data publicly available for testing and training, this first synthetic LHS process paves the way for more researchers to start developing LHS with real patient data.","In conclusion, this simulation study created the first synthetic LHS, i.e. ML-enabled learning health system of synthetic patients. It has demonstrated the effectiveness of the new LHS process, in which a risk prediction LHS can be created by building a XGBoost base model for any given target disease such as lung cancer or stroke from existing EHR data. With its intrinsically data-centric approach, the LHS can continuously learn from new patient data over time to improve the ML model performance, and ultimately achieve high recall and precision (> 95%) for disease risk prediction. The resulting synthetic data ML model cannot be used in real care delivery, so it is the LHS process that can be followed to build disease risk prediction LHS with real patient data. Finally, because real data is different from synthetic data, real data ML models can be optimized further by hyperparameter tuning.","Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Artificial intelligence-based methods for fusion of electronic health records and imaging data,https://www.nature.com/articles/s41598-022-22514-4,26 Oct 2022,"Healthcare data are inherently multimodal, including electronic health records (EHR), medical images, and multi-omics data. Combining these multimodal data sources contributes to a better understanding of human health and provides optimal personalized healthcare. The most important question when using multimodal data is how to fuse them—a field of growing interest among researchers. Advances in artificial intelligence (AI) technologies, particularly machine learning (ML), enable the fusion of these different data modalities to provide multimodal insights. To this end, in this scoping review, we focus on synthesizing and analyzing the literature that uses AI techniques to fuse multimodal medical data for different clinical applications. More specifically, we focus on studies that only fused EHR with medical imaging data to develop various AI methods for clinical applications. We present a comprehensive analysis of the various fusion strategies, the diseases and clinical outcomes for which multimodal fusion was used, the ML algorithms used to perform multimodal fusion for each clinical application, and the available multimodal medical datasets. We followed the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews) guidelines. We searched Embase, PubMed, Scopus, and Google Scholar to retrieve relevant studies. After pre-processing and screening, we extracted data from 34 studies that fulfilled the inclusion criteria. We found that studies fusing imaging data with EHR are increasing and doubling from 2020 to 2021. In our analysis, a typical workflow was observed: feeding raw data, fusing different data modalities by applying conventional machine learning (ML) or deep learning (DL) algorithms, and finally, evaluating the multimodal fusion through clinical outcome predictions. Specifically, early fusion was the most used technique in most applications for multimodal learning (22 out of 34 studies). We found that multimodality fusion models outperformed traditional single-modality models for the same task. Disease diagnosis and prediction were the most common clinical outcomes (reported in 20 and 10 studies, respectively) from a clinical outcome perspective. Neurological disorders were the dominant category (16 studies). From an AI perspective, conventional ML models were the most used (19 studies), followed by DL models (16 studies). Multimodal data used in the included studies were mostly from private repositories (21 studies). Through this scoping review, we offer new insights for researchers interested in knowing the current state of knowledge within this research field.",Conclusions not available,"Traditional ML, DNN",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Multilayer perceptron-based prediction of stroke mimics in prehospital triage,https://www.nature.com/articles/s41598-022-22919-1,26 Oct 2022,"The identification of stroke mimics (SMs) in patients with stroke could lead to delayed diagnosis and waste of medical resources. Multilayer perceptron (MLP) was proved to be an accurate tool for clinical applications. However, MLP haven’t been applied in patients with suspected stroke onset within 24 h. Here, we aimed to develop a MLP model to predict SM in patients. We retrospectively reviewed the data of patients with a prehospital diagnosis of suspected stroke between July 2017 and June 2021. SMs were confirmed during hospitalization. We included demographic information, clinical manifestations, medical history, and systolic and diastolic pressure on admission. First, the cohort was randomly divided into a training set (70%) and an external testing set (30%). Then, the least absolute shrinkage and selection operator (LASSO) method was used in feature selection and an MLP model was trained based on the selected items. Then, we evaluated the performance of the model using the ten-fold cross validation method. Finally, we used the external testing set to compare the MLP model with FABS scoring system (FABS) and TeleStroke Mimic Score (TM-Score) using a receiver operator characteristic (ROC) curve. In total, 402 patients were included. Of these, 82 (20.5%) were classified as SMs. During the ten-fold cross validation, the mean area under the ROC curve (AUC) of 10 training sets and 10 validation sets were 0.92 and 0.87, respectively. In the external testing set, the AUC of the MLP model was significantly higher than that of the FABS (0.855 vs. 0.715, P = 0.038) and TM-Score (0.855 vs. 0.646, P = 0.006). The MLP model had significantly better performance in predicting SMs than FABS and TM-Score.","The restricted time window requires a more accurate and intelligent classifier during prehospital triage. The MLP model is an effective tool for differentiating stroke and SM patients, and performs better than other SM probability scales for prehospital stroke recognition. Further prospective validations are needed for MLP model in a larger sample-size data.","Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Predicting radiocephalic arteriovenous fistula success with machine learning,https://www.nature.com/articles/s41746-022-00710-w,25 Oct 2022,"After creation of a new arteriovenous fistula (AVF), assessment of readiness for use is an important clinical task. Accurate prediction of successful use is challenging, and augmentation of the physical exam with ultrasound has become routine. Herein, we propose a point-of-care tool based on machine learning to enhance prediction of successful unassisted radiocephalic arteriovenous fistula (AVF) use. Our analysis includes pooled patient-level data from 704 patients undergoing new radiocephalic AVF creation, eligible for hemodialysis, and enrolled in the 2014–2019 international multicenter PATENCY-1 or PATENCY-2 randomized controlled trials. The primary outcome being predicted is successful unassisted AVF use within 1-year, defined as 2-needle cannulation for hemodialysis for ≥90 days without preceding intervention. Logistic, penalized logistic (lasso and elastic net), decision tree, random forest, and boosted tree classification models were built with a training, tuning, and testing paradigm using a combination of baseline clinical characteristics and 4–6 week ultrasound parameters. Performance assessment includes receiver operating characteristic curves, precision-recall curves, calibration plots, and decision curves. All modeling approaches except the decision tree have similar discrimination performance and comparable net-benefit (area under the ROC curve 0.78–0.81, accuracy 69.1–73.6%). Model performance is superior to Kidney Disease Outcome Quality Initiative and University of Alabama at Birmingham ultrasound threshold criteria. The lasso model is presented as the final model due to its parsimony, retaining only 3 covariates: larger outflow vein diameter, higher flow volume, and absence of >50% luminal stenosis. A point-of-care online calculator is deployed to facilitate AVF assessment in the clinic.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Survival analysis of localized prostate cancer with deep learning,https://www.nature.com/articles/s41598-022-22118-y,24 Oct 2022,"In recent years, data-driven, deep-learning-based models have shown great promise in medical risk prediction. By utilizing the large-scale Electronic Health Record data found in the U.S. Department of Veterans Affairs, the largest integrated healthcare system in the United States, we have developed an automated, personalized risk prediction model to support the clinical decision-making process for localized prostate cancer patients. This method combines the representative power of deep learning and the analytical interpretability of parametric regression models and can implement both time-dependent and static input data. To collect a comprehensive evaluation of model performances, we calculate time-dependent C-statistics \(C_{\text {td}}\) over 2-, 5-, and 10-year time horizons using either a composite outcome or prostate cancer mortality as the target event. The composite outcome combines the Prostate-Specific Antigen (PSA) test, metastasis, and prostate cancer mortality. Our longitudinal model Recurrent Deep Survival Machine (RDSM) achieved \(C_{\text {td}}\) 0.85 (0.83), 0.80 (0.83), and 0.76 (0.81), while the cross-sectional model Deep Survival Machine (DSM) attained \(C_{\text {td}}\) 0.85 (0.82), 0.80 (0.82), and 0.76 (0.79) for the 2-, 5-, and 10-year composite (mortality) outcomes, respectively. In addition to estimating the survival probability, our method can quantify the uncertainty associated with the prediction. The uncertainty scores show a consistent correlation with the prediction accuracy. We find PSA and prostate cancer stage information are the most important indicators in risk prediction. Our work demonstrates the utility of the data-driven machine learning model in prostate cancer risk prediction, which can play a critical role in the clinical decision system.",Conclusions not available,"Traditional ML, DNN, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Mouse tissue glycome atlas 2022 highlights inter-organ variation in major N-glycan profiles,https://www.nature.com/articles/s41598-022-21758-4,24 Oct 2022,"This study presents “mouse tissue glycome atlas” representing the profiles of major N-glycans of mouse glycoproteins that may define their essential functions in the surface glycocalyx of mouse organs/tissues and serum-derived extracellular vesicles (exosomes). Cell surface glycocalyx composed of a variety of N-glycans attached covalently to the membrane proteins, notably characteristic “N-glycosylation patterns” of the glycocalyx, plays a critical role for the regulation of cell differentiation, cell adhesion, homeostatic immune response, and biodistribution of secreted exosomes. Given that the integrity of cell surface glycocalyx correlates significantly with maintenance of the cellular morphology and homeostatic immune functions, dynamic alterations of N-glycosylation patterns in the normal glycocalyx caused by cellular abnormalities may serve as highly sensitive and promising biomarkers. Although it is believed that inter-organs variations in N-glycosylation patterns exist, information of the glycan diversity in mouse organs/tissues remains to be elusive. Here we communicate for the first-time N-glycosylation patterns of 16 mouse organs/tissues, serum, and serum-derived exosomes of Slc:ddY mice using an established solid-phase glycoblotting platform for the rapid, easy, and high throughput MALDI-TOFMS-based quantitative glycomics. The present results elicited occurrence of the organ/tissue-characteristic N-glycosylation patterns that can be discriminated to each other. Basic machine learning analysis using this N-glycome dataset enabled classification between 16 mouse organs/tissues with the highest F1 score (69.7–100%) when neural network algorithm was used. A preliminary examination demonstrated that machine learning analysis of mouse lung N-glycome dataset by random forest algorithm allows for the discrimination of lungs among the different mouse strains such as the outbred mouse Slc:ddY, inbred mouse DBA/2Crslc, and systemic lupus erythematosus model mouse MRL-lpr/lpr with the highest F1 score (74.5–83.8%). Our results strongly implicate importance of “human organ/tissue glycome atlas” for understanding the crucial and diversified roles of glycocalyx determined by the organ/tissue-characteristic N-glycosylation patterns and the discovery research for N-glycome-based disease-specific biomarkers and therapeutic targets.",Conclusions not available,"Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
Feasibility of the optimal cerebral perfusion pressure value identification without a delay that is too long,https://www.nature.com/articles/s41598-022-22566-6,22 Oct 2022,"Optimal cerebral perfusion pressure (CPPopt)-targeted treatment of traumatic brain injury (TBI) patients requires 2–8 h multi-modal monitoring data accumulation to identify CPPopt value for individual patient. Minimizing the time required for monitoring data accumulation is needed to improve the efficacy of CPPopt-targeted therapy. A retrospective analysis of multimodal physiological monitoring data from 87 severe TBI patients was performed by separately representing cerebrovascular autoregulation (CA) indices in relation to CPP, arterial blood pressure (ABP), and intracranial pressure (ICP) to improve the existing CPPopt identification algorithms. Machine learning (ML)-based algorithms were developed for automatic identification of informative data segments that were used for reliable CPPopt, ABPopt, ICPopt and the lower/upper limits of CA (LLCA/ULCA) identification. The reference datasets of the informative data segments and, artifact-distorted segments, and the datasets of different clinical situations were used for training the ML-based algorithms, allowing us to choose the appropriate individualized CPP-, ABP- or ICP-guided management for 79% of the full monitoring time for the studied population. The developed ML-based algorithms allow us to recognize informative physiological ABP/ICP variations within 24 min intervals with an accuracy up to 79% (compared to the initial accuracy of 74%) and use these segments for timely optimal value identification or CA limits determination in CPP, ABP or ICP data. Prospective clinical studies are needed to prove the efficiency of the developed algorithms.","A retrospective study of 87 severe TBI patients with multimodal monitoring data showed the potential to improve algorithms for personalized CPPopt values by reducing the monitoring data accumulation time.The developed ML-based algorithms allow us to recognize the informative physiological ABP/ICP variations within 24 min intervals and use these segments for the timely determination of optimal value or CA limits identification in CPP, ABP or ICP data. It has also been shown that ML-based identification of appropriate individualized CPP-, ABP- or ICP-guided management from a 2-h monitoring window is possible in 79% of the full monitoring time of the studied population data.Prospective clinical studies are guaranteed to prove the efficiency of the developed algorithms.","Traditional ML, Gen AI",Attack Types: ; Attacker Identity: patient; Attacker Capability: 
